"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.00117577604614796	0.0109367889288323	0.00035581269298752	0.000243779771494314	0.00107015048470254	0.000182690349535802	0.0010729250722666	0.000540186856045226	0.0026636332721968	0.00120259115253121	2.22044604925031e-16	0.000691466032187496	0.00122234018866515	0.00129592555455596	0.00044627698450968	0.00103921747543641	0.00111981445530848	2.22044604925031e-16	0.00114520575713161	2.22044604925031e-16	0.00261237352793021	2.22044604925031e-16	2.22044604925031e-16	0.000535948844765935	2.22044604925031e-16	0.00173356743603383	0.000200450367723714
"IS02"	2.22044604925031e-16	0.00200299450080622	0.00206132843653988	0.00179153965627207	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.003145610657133	0.00529517488408725	2.22044604925031e-16	0.00165645308994392	2.22044604925031e-16	0.00179098431107943	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00129633631170596	0.000231344193005186	2.22044604925031e-16	0.00201525652153759	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00280223818717265
"IS03"	0.00133201591744258	2.22044604925031e-16	2.22044604925031e-16	0.000614564268176069	0.00162963618230913	8.96497167987303e-05	3.93280350913352e-05	0.00124721613724261	0.00064307500031841	0.00123371499860424	0.00182915794450924	0.0010483234693909	5.34483041689271e-07	0.00106702798758101	0.000151896149820955	0.00159079787084471	0.000438186762309413	2.22044604925031e-16	2.22044604925031e-16	0.000175425498073804	0.0111425573299377	0.000825297455772714	0.000144413262626372	0.000666830344238619	2.22044604925031e-16	0.000101113433678724	2.22044604925031e-16
"IS04"	2.22044604925031e-16	0.000332892625478031	0.00237348231771391	1.43592449198751e-05	0.00166156034607003	2.22044604925031e-16	0.00256042258157196	0.00237190920212139	0.00219765725495637	0.0016924970127541	2.22044604925031e-16	0.00187408498368228	0.00180371805787173	0.000118221001336521	0.000643341530124985	0.000164418015509618	0.000334806838076857	0.00254233315835828	2.22044604925031e-16	0.000699218591897464	0.00139553972361952	0.000428659409333587	0.00128106975900301	0.00356722331787182	3.34927107533868e-05	0.000482674777052948	0.000721363422853328
"IS05"	0.00220430680900627	0.00216320750424466	0.000335678408449722	2.22044604925031e-16	2.22044604925031e-16	0.00106748310900892	2.22044604925031e-16	0.00125658861663835	0.000951526016310015	0.00288481883831085	0.0007087065289904	2.22044604925031e-16	2.20387794814541e-05	0.00134252950819958	5.71787167816688e-05	0.000688590089898891	0.00102998497069141	0.00469898741606267	0.000346286481477449	0.00131352547300996	2.22044604925031e-16	0.000193723721809633	0.000745691237104386	0.00194807489918008	0.00097325929319805	0.000108268862172816	0.00245213506354005
"IS06"	2.22044604925031e-16	0.00024338694763578	2.22044604925031e-16	8.47744778100663e-05	0.000179358331159925	2.22044604925031e-16	0.000372725846813132	0.00141023504363402	0.000390034837422332	0.000480315635931704	0.00263094268269445	0.000964520157655607	2.22044604925031e-16	0.000968236270868238	0.000776796944824585	9.27825872013775e-05	0.00114199897339126	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00408058325432521	0.00858690516920241	0.000496649840441812	2.22044604925031e-16	5.45235588164634e-05	2.22044604925031e-16	0.00082829994416578
"IS07"	0.000415037730837905	2.22044604925031e-16	2.22044604925031e-16	0.000582787938690837	0.000148062207359009	9.09749991468831e-06	0.000589431343932356	0.000514854384616623	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000432251274039005	0.000972587958017837	0.00621831648892057	0.00354723976242111	2.22044604925031e-16	0.00100820752098987	0.000106936503523738	0.000167051471996229	2.22044604925031e-16	0.000208979823944958	8.20409791537032e-05	2.22044604925031e-16	1.62734906089412e-05	0.000878024172247657	0.0131723963672226
"IS08"	0.00248887298468828	0.00171518037426693	0.00283446623109708	2.22044604925031e-16	0.00043217045680986	2.22044604925031e-16	0.000332024729496044	0.00258234127803614	0.00155648985689094	3.68229197466256e-08	0.00175871704017933	0.000445988916433813	0.00240506949913842	0.00155381011570219	0.000952559280263039	0.00361586420599643	0.000376211501197973	0.00194591361868284	0.00138074399997376	0.000569481511359885	0.00147086215377332	0.00418050357572947	0.000253244303705768	0.002003544005527	0.00231559766796001	2.22044604925031e-16	2.22044604925031e-16
"IS09"	0.000517566751068959	0.0017005909696156	0.000327197934326902	2.22044604925031e-16	0.000789833791385188	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00356729721271613	0.000628540019947198	0.000409201257577661	1.62142679262795e-09	0.00813744145230666	0.00451226579254549	0.00291985683217726	0.000402010845962849	0.00186593432704584	0.000237840185801499	0.000432678067028937	0.00277661141666466	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00851352801589649
"IS10"	0.00114449254541214	0.00178385169578917	0.00270065896762366	0.00314859579136457	0.00112827645230592	0.0039857413695485	0.00190017611745566	0.00132169099753801	0.00130123774657734	0.00179586060378988	0.00014936949145891	0.00191640142233324	0.00224666585880628	0.00447704880522919	0.00154054991654348	2.22044604925031e-16	0.00212231479177064	0.00412753797324705	0.00286552421338414	0.00327721848288496	0.0013333139347685	0.000679283092165869	0.00468254676698857	0.000957426034060068	0.0032126226485028	0.00539541969729057	0.00238045528397827
