"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"CDHR5"	0.000203871921741358	0.806310748568753	0.00095025607032402	0	0.00167791182931188	0.000496092773649028	0	0.00245331505906144	0.00158160975929038	0.00151289606474401	0.000719313996057729	0.000667950479757161	0.000573068030170269	0.000663286051480789	0.00140435945860312	0.00070031198788164	0.000751533101422468	0	0.0014840118702393	0.00092217971118135	0.0290966461721028	0.000939640405508607	0	0.00184264363583	0	0.00170992814151095	0.00875795770456924
"ALPI"	0.000869984369824869	0	0	0	0	0	0	0	0.00167535467688116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C11orf86"	0.135178850988629	0	0.0812878300041216	0	0	0	0.445007639001958	0	0.468421352268854	0.111613919980089	0	0	0	0	0	0	0	0	0	0	0	0.104656157682613	0	0	0	0.476208362640223	0
"SI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"APOA4"	0	3.85530209266616	0	0	0.0567407863557761	0	0	0	0.0512253868036772	0.0973864616977956	0	0.0700090756558645	0	0	0	0	0	0	0	0	0.548022518984809	0	0	0	0	0	0
"GUCA2A"	0	0	0	0	0	0	0	0	0	0	0	0	0.00682714262719188	0	0	0	0	0	0.00480285680694916	0	0.0101657472884692	0	0	0	0	0	0
"MOGAT2"	0	0.637051649406026	0	0	0	0	0	0.0089830852040989	0	0	0	0	0	0	0	0	0	0.00635928929123772	0	0	0.0208940207869951	0	0	0	0	0	0.0436295061091003
"SLC26A3"	0	0.00309954550904619	0.00206843391440932	0	0.0026521589310894	0	0	0	0.000744662636539758	0.000984945891070111	0	0	0.00329251476372743	0	0	0.000856144053945343	0.00146609207795107	0	0	0	0	0	0	0	0	0	0
"CREB3L3"	0.0031369565255159	1.9017435906872	0.00161072453299856	0.000384048354213108	0	0	0.00549683470016024	0.00350437685801549	0	0.000759302476109708	0.00255318671846617	0.00455287540097629	0.00234560155709517	0.00151073777047761	0.00144290525643073	0.0107344905208806	0.00191789258496536	0.0135147711767669	0.00295599042576908	0	0.0875108010583176	0.00489169930765105	0	0	0	0.00618315107774126	0.00448753018697178
"LRRC19"	0.010465328172764	0.0139924575618427	0.00516988233172149	0.00157957305378035	0.0014860436037688	0.00813611273886364	0.00368037187252073	0.00144477735085292	0.0197986878618882	0.0270936190175413	0.00120582253346035	0.00664427664306367	0.000877090476323706	0.00452979694427843	0	0	0	0.00496954937509028	0.00903595778426586	0.00729606093790227	0.00304940370023301	0.0173842637928493	0.0202137541320454	0.0482132971519189	0.0247692204727378	0.0290428078600452	0.0406797746173375
"TMIGD1"	0	0	0	0.00381137637936057	0	0	0	0	0	0	0	0	0	0	0	0	0.00329909184359263	0	0	0	0.00603285369716125	0	0	0	0	0	0
"FABP2"	0.0105292481996167	0	0	0	0	0	0	0.00240146858332604	0	0.00231822718325011	0	0	0.000740009069413835	0	0	0	0	0	0	0	0	0.00218780959678554	0	0	0	0	0
"CLCA1"	0	0	0	0	0	0	0	0	0	0	0	0.000229294231039565	0	0	0	0.000362078744168486	0	0	0	0	0	0	0	0	0	0	0
"MS4A12"	0	0	0	0	0	0	0	0.00710580657456761	0	0	0	0	0	0.0399885733496705	0	0.0101424430362987	0.00909552132200237	0	0	0	0	0	0	0	0	0	0
"AQP8"	0.13336205166993	0.252517387581744	0	0	0.0677370394284437	0.138046007282768	0.746348537304276	0.549045596645859	0.132262491275123	1.3512343576905	0	0.132649100899117	0.26525632769834	0	0.329631497028543	0.280479534572213	0.116904658631457	0	0	0	0	0	0	0	0	0	0
"SLC6A19"	0	0.016646668938447	0.00417105557303947	0	0.000572616361316871	0.00565355093008297	0	0	0	0	0	0	0	0	0.00140482654288385	0	0.00162603095618318	0.00117343337472995	0	0	0.00145477994280017	0	0	0	0	0	0
"DHRS11"	1.32396974690367	0.959989915122257	1.07422195116378	0.369255345693269	0.2951006316487	0.919246474447401	0.966618026243717	0.796789674807749	1.03722482507241	1.14846709774903	0.605043341334829	0.720129260849622	0.893173576714821	1.83200451213482	0.581956686119516	0.530719422142109	2.02992022257417	1.19093720207114	1.0627050401379	0.857667752458001	1.1864322455996	0.895066213402118	0.795829391527007	0.619981231377492	0.764142208858899	2.23962261294247	0.523141434699755
"CA7"	0	0	0.555142280617656	0.344536448585607	0	0	0.625413337601397	0.216908019983468	3.62493995544219	1.72267624831757	0	0	0.367007249274418	0	0	0.185860108952816	0.307341372493131	0	0	0	0	0	0	1.01192682581683	0	1.52696551933107	0
"UGT2B17"	0	0.84460604201937	0.00285246245542297	0	0	0	0	0.0276439776640225	0	0.00564945626829026	0	0	0	0	0.168145746830191	0	0	0.00301403203302486	0.00393126091537421	0	0.0465207502429813	0.023163585352084	0	0	0	0.0200974606654088	0.0969981478723845
"TBX10"	0	0.222433663661951	0	0	0	0	0	0	0	0	0	0	0.179565816351861	0	0.153342099617161	0.0317770583775122	0.0516998938173196	0	0	0	0	0.0450453809570848	0	0.192125377678053	0	0	0
"MEP1B"	0.00157994414884333	0.0173460366578436	0	0	0.00187594611246212	0.00257283682101656	0	0.000710362200962629	0.00155177420986472	0	0	0.00114396597913541	0	0	0.001478104253752	0	0.000868210926559482	0	0	0.00454602849989566	0	0.00103580176269147	0	0.00736570808161739	0.00594388456034233	0	0
"RBP2"	0	0	0.00390426015505918	0	0	0	0	0.00338659519522024	0.00281100387485393	0	0	0.00294901735153205	0	0	0	0.00352403558799936	0	0	0	0	0	0.00925590330615777	0	0	0	0	0
"TM6SF2"	0.0133479517581384	0.403176448148553	0.011254642787674	0.00182703761815144	0.00334364587952522	0.00937878473251906	0.00861289113366276	0.00756263276935189	0.197979577437943	0.00792652187585926	0.0122428614817264	0.0122080795693007	0.0176626537938672	0.0476920888207307	0.00430039241136094	0.0224715260927734	0.0412555841962199	0.221425875524531	0.00440563165000731	0	0.0227337118858067	0.0412683043248922	0.0792835656751384	0.185401739573639	0.0085047382102848	0	0
"LYPD8"	0	0	0.0642428232066164	0.0193683879161584	0	0	0.079894108133992	0.0179253529418526	0.0890273930094727	0.00691676703526433	0	0	0.00766007524875166	0	0	0.00552241880680703	0	0.00971111288712553	0	0	0	0	0	0	0	0	0.0208332708435967
"C9orf57"	0	0	0	0	0.0660106091348536	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0518877166761646	0	0	0	0	0	0	0	0
