"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"CDHR5"	-0.205689448841344	5.00041509031823	-0.200869053411825	-0.207006121069224	-0.196169612109985	-0.203802190032832	-0.207006121069224	-0.191161801866671	-0.196791562695439	-0.197235338437147	-0.202360553628423	-0.202692276186692	-0.203305058394351	-0.202722400605582	-0.197936303699031	-0.202483274875301	-0.202152472001103	-0.207006121069224	-0.197421882108312	-0.201050379815321	-0.0190903668444444	-0.200937612882514	-0.207006121069224	-0.195105719677724	-0.207006121069224	-0.195962840187929	-0.150444336670142
"ALPI"	2.16957401578421	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	4.42209717514879	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732	-0.26366684763732
"C11orf86"	0.457316772134886	-0.45604532464305	0.0931916477982868	-0.45604532464305	-0.45604532464305	-0.45604532464305	2.55073500577431	-0.45604532464305	2.70893429572543	0.298095750214842	-0.45604532464305	-0.45604532464305	-0.45604532464305	-0.45604532464305	-0.45604532464305	-0.45604532464305	-0.45604532464305	-0.45604532464305	-0.45604532464305	-0.45604532464305	-0.45604532464305	0.251084281228172	-0.45604532464305	-0.45604532464305	-0.45604532464305	2.76154873998508	-0.45604532464305
"SI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"APOA4"	-0.233061533817473	4.95217830569242	-0.233061533817473	-0.233061533817473	-0.156747258342987	-0.233061533817473	-0.233061533817473	-0.233061533817473	-0.164165268346084	-0.102080316551799	-0.233061533817473	-0.138901896130818	-0.233061533817473	-0.233061533817473	-0.233061533817473	-0.233061533817473	-0.233061533817473	-0.233061533817473	-0.233061533817473	-0.233061533817473	0.504008643846206	-0.233061533817473	-0.233061533817473	-0.233061533817473	-0.233061533817473	-0.233061533817473	-0.233061533817473
"GUCA2A"	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	2.46215183069517	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	1.63421365200597	-0.330167305211673	3.82764984237901	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673	-0.330167305211673
"MOGAT2"	-0.217006223274183	4.98943997474291	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.143589962832896	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.165033518104476	-0.217006223274183	-0.217006223274183	-0.0462451944169969	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	-0.217006223274183	0.139565612643491
"SLC26A3"	-0.544630892699185	2.46100259954452	1.46113228499796	-0.544630892699185	2.02717122692465	-0.544630892699185	-0.544630892699185	-0.544630892699185	0.177469477911324	0.410472476361889	-0.544630892699185	-0.544630892699185	2.64812514804412	-0.544630892699185	-0.544630892699185	0.285573159866984	0.877040587633076	-0.544630892699185	-0.544630892699185	-0.544630892699185	-0.544630892699185	-0.544630892699185	-0.544630892699185	-0.544630892699185	-0.544630892699185	-0.544630892699185	-0.544630892699185
"CREB3L3"	-0.200459044756464	4.99852980308549	-0.204638353395518	-0.207997382937851	-0.209049029484671	-0.209049029484671	-0.193996947715673	-0.199452931021915	-0.209049029484671	-0.206969817796266	-0.20205759216589	-0.196581808518839	-0.202626026363647	-0.204912148953758	-0.205097895952481	-0.179654580154747	-0.203797229569311	-0.172041287404295	-0.200954587496857	-0.209049029484671	0.030583378082891	-0.195654000893768	-0.209049029484671	-0.209049029484671	-0.209049029484671	-0.192117595179485	-0.196760744498918
"LRRC19"	-0.0807220580915622	0.191936804487001	-0.49007767865251	-0.767620557306136	-0.774850695655104	-0.260778177630068	-0.605221803748142	-0.778040714603022	0.64077776688026	1.20470026931186	-0.796512718754519	-0.376102082189383	-0.821924802889999	-0.539558413392148	-0.889726821266019	-0.889726821266019	-0.889726821266019	-0.50556408418705	-0.191217155191813	-0.325716982899423	-0.653997747355979	0.45413473572726	0.672863773553621	2.83732181021002	1.02501651136191	1.35537906618094	2.25495539863204
"TMIGD1"	-0.333458860112865	-0.333458860112865	-0.333458860112865	2.27739593196191	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	1.92647269531743	-0.333458860112865	-0.333458860112865	-0.333458860112865	3.79914401542943	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865	-0.333458860112865
"FABP2"	4.68429767432333	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993	0.821391338544727	-0.319959515396993	0.781829029164699	-0.319959515396993	-0.319959515396993	0.0317460988943719	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993	0.719845197806723	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993	-0.319959515396993
"CLCA1"	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	2.55935275821482	-0.270294275076219	-0.270294275076219	-0.270294275076219	4.19800411869066	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219	-0.270294275076219
"MS4A12"	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	0.579702617082792	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	4.67994101352214	-0.306339033669453	0.958348778507529	0.82780536528495	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453	-0.306339033669453
"AQP8"	-0.110280872639285	0.286271367905908	-0.554113454610725	-0.554113454610725	-0.32868272129361	-0.0946925393206694	1.92975503882108	1.2731254167775	-0.113940239925181	3.94283171316908	-0.554113454610725	-0.112653592445752	0.328666911561174	-0.554113454610725	0.542909248574612	0.379330163424145	-0.165051530058852	-0.554113454610725	-0.554113454610725	-0.554113454610725	-0.554113454610725	-0.554113454610725	-0.554113454610725	-0.554113454610725	-0.554113454610725	-0.554113454610725	-0.554113454610725
"SLC6A19"	-0.359400081313889	4.58009070647209	0.878258374834508	-0.359400081313889	-0.189490218138339	1.31815251738811	-0.359400081313889	-0.359400081313889	-0.359400081313889	-0.359400081313889	-0.359400081313889	-0.359400081313889	-0.359400081313889	-0.359400081313889	0.0574477452795414	-0.359400081313889	0.123084730417517	-0.0112125030067091	-0.359400081313889	-0.359400081313889	0.0722701917171811	-0.359400081313889	-0.359400081313889	-0.359400081313889	-0.359400081313889	-0.359400081313889	-0.359400081313889
"DHRS11"	0.762927595612313	-0.0239923250742508	0.222975932209963	-1.30115320029836	-1.4614747802301	-0.112079142817521	-0.00966243033125477	-0.376829237866294	0.14298860053018	0.383493026182672	-0.791382453053959	-0.54256811020018	-0.16844842711378	1.86129251106676	-0.841295517747782	-0.952069852435402	2.28918384339501	0.475312869499638	0.198076512188029	-0.245211582564841	0.465573209002721	-0.164356569868374	-0.378905358511275	-0.759086918463306	-0.447412657802911	2.74255783279646	-0.968453368104155
"CA7"	-0.487384083824762	-0.487384083824762	0.209109354241747	-0.0551212496057131	-0.487384083824762	-0.487384083824762	0.297272932812485	-0.215246619507692	4.06054350248975	1.67392256630333	-0.487384083824762	-0.487384083824762	-0.02692890005085	-0.487384083824762	-0.487384083824762	-0.25419999606273	-0.101786991580853	-0.487384083824762	-0.487384083824762	-0.487384083824762	-0.487384083824762	-0.487384083824762	-0.487384083824762	0.782201063249113	-0.487384083824762	1.42837967890761	-0.487384083824762
"UGT2B17"	-0.28093213876773	4.87467733338329	-0.263520254738375	-0.28093213876773	-0.28093213876773	-0.28093213876773	-0.28093213876773	-0.112188907009867	-0.28093213876773	-0.246446960116081	-0.28093213876773	-0.28093213876773	-0.28093213876773	-0.28093213876773	0.745456215010776	-0.28093213876773	-0.28093213876773	-0.262534008366393	-0.256935097538494	-0.28093213876773	0.00303791196840437	-0.139537933530154	-0.28093213876773	-0.28093213876773	-0.28093213876773	-0.158254045765895	0.311159966986472
