"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.0863579571698283	0.443708474626804	0.0260666246326179	0.0158793611221636	0.0653011037939226	0.0140719317187513	0.0729733051141558	0.0291831266846573	0.11889361636513	0.0625182828914699	1.19100456245521e-14	0.0471145260048606	0.0892629672408162	0.0885629009363883	0.022399054459864	0.049391488520746	0.0898754957062086	1.22575788084734e-14	0.105928112948753	2.06805911089274e-14	0.0942156236009227	1.03170497250512e-14	1.92456303137117e-14	0.0258361020586181	1.75011779644603e-14	0.139850967039878	0.0062934224054389
"IS02"	1.63086486960922e-14	0.0812620267632335	0.151011685807709	0.116697562690449	1.35492699394707e-14	1.71032379485913e-14	1.51020132933572e-14	0.169938889257303	0.236354793216604	1.15432808531888e-14	0.0888489584460893	1.51294869538041e-14	0.130788936967933	1.51744166787213e-14	1.11446240134906e-14	1.05532420445901e-14	1.78211388877178e-14	0.0715619481427456	0.0213986470589101	2.06805911089274e-14	0.0726805136641098	1.03170497250512e-14	1.92456303137117e-14	1.07039452187159e-14	1.75011779644603e-14	1.79128611205334e-14	0.0879802256927588
"IS03"	0.0978334045202691	9.00840946931543e-15	1.62668546748043e-14	0.0400315739379288	0.0994411935596895	0.00690537128317167	0.00267483422509407	0.067379770775564	0.0287042188502193	0.0641362969682978	0.0981125147398756	0.0714297753772093	3.90313127912304e-05	0.0729201562761608	0.00762380819575839	0.0756067682018704	0.0351685516183201	1.22575788084734e-14	2.05384629300783e-14	0.0163386225797702	0.401857918144223	0.0383465065140408	0.012516963723764	0.0321454127530707	1.75011779644603e-14	0.00815705878338615	6.97140398149891e-15
"IS04"	1.63086486960922e-14	0.01350554353993	0.173879892053695	0.000935334519868517	0.101389221581061	1.71032379485913e-14	0.174143100106247	0.128140338764958	0.0980943665556981	0.087986683432367	1.19100456245521e-14	0.127694813033238	0.131718835234647	0.00807916380162319	0.0322899062011772	0.00781438988238419	0.0268713539063011	0.140344995351241	2.05384629300783e-14	0.0651231936019053	0.0503303390250037	0.0199171713390598	0.111036226240093	0.171962579276888	0.00263983847572032	0.0389385108035074	0.0226482234949382
"IS05"	0.161901098108755	0.0877619114948152	0.0245915990148233	1.44635727780841e-14	1.35492699394707e-14	0.082224099187845	1.51020132933572e-14	0.0678861108512146	0.0424722015321952	0.14997110185332	0.0380136553983982	1.51294869538041e-14	0.00160941026820768	0.091747791700579	0.00286985266010275	0.0327270184774925	0.0826658464462622	0.259399270663928	0.0320304655247675	0.122337956500456	8.00807032247311e-15	0.00900115214016019	0.0646324997733261	0.093909451255613	0.0767106415468857	0.00873430404866008	0.0769882436499995
"IS06"	1.63086486960922e-14	0.00987427406547528	1.62668546748043e-14	0.00552205188657456	0.0109445327239511	1.71032379485913e-14	0.0253503601010717	0.0761867258948435	0.017409548383994	0.0249698401166271	0.141118706293503	0.0657196564035342	1.62150933751656e-14	0.0661687800186204	0.0389881568517331	0.00440973155186551	0.0916560090316452	1.22575788084734e-14	2.05384629300783e-14	2.06805911089274e-14	0.14716681663297	0.398980770754919	0.0430469329697707	1.07039452187159e-14	0.00429745413731092	1.79128611205334e-14	0.0260056466158331
"IS07"	0.0304835352795173	9.00840946931543e-15	1.62668546748043e-14	0.037961722908289	0.00903482800682513	0.000700745266162794	0.0400892424051163	0.0278145618729387	9.91115644539559e-15	1.15432808531888e-14	1.19100456245521e-14	1.51294869538041e-14	0.0315657062347595	0.0664661721308302	0.312103053750425	0.168591710731559	1.78211388877178e-14	0.0556563090015243	0.0098913072634033	0.0155586900553826	8.00807032247311e-15	0.00971000955371343	0.00711087016007525	1.07039452187159e-14	0.0012826488414173	0.0708322774302656	0.413565988290244
"IS08"	0.182801807637614	0.0695853300752203	0.207651297258331	1.44635727780841e-14	0.026371251763393	1.71032379485913e-14	0.0225821378558851	0.139508749271824	0.0694752952116356	1.91428791802099e-06	0.094334200086893	0.0303884145034948	0.175633299063759	0.106186602206515	0.0478098309692193	0.17185326425352	0.0301944621274159	0.107420711903988	0.127714697094144	0.0530398578452472	0.0530468532034717	0.194242338295575	0.02194985214714	0.0965834107326698	0.182511468336463	1.79128611205334e-14	6.97140398149891e-15
"IS09"	0.0380140482260819	0.0689934339962452	0.0239703245633412	1.44635727780841e-14	0.0481960426393006	1.71032379485913e-14	1.51020132933572e-14	1.19957673213532e-14	9.91115644539559e-15	1.15432808531888e-14	0.191342962708467	0.0428269267562054	0.0298824490831345	1.10807491916708e-07	0.408425709998088	0.21445705962698	0.23434559086023	0.0221922961285838	0.172593353569345	0.0221517457426754	0.0156045961527834	0.129012087740416	1.92456303137117e-14	1.07039452187159e-14	1.75011779644603e-14	1.79128611205334e-14	0.267294236338964
"IS10"	0.0840602583644166	0.0723713440983044	0.197848657333392	0.205093676527499	0.0688479786473649	0.307006256999346	0.1292374790877	0.0714032105510793	0.0580818925248661	0.0933601756715638	0.00801189228980547	0.13057813463755	0.164065669128238	0.305959264736273	0.0773216246334298	1.05532420445901e-14	0.170335445350597	0.227853417150686	0.265052433278902	0.305230633466847	0.0480861570816567	0.0315621153759983	0.405857931268156	0.0461539510181367	0.253213451068025	0.435261211400237	0.0747377557320486
