"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"C20orf85"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DRC7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DNAI2"	0	0	0.000782037933226061	0	0.000651695735084807	0	0	0	0.000603217580972526	0	0.00225056273814032	0	0.00162694364207599	0	0	0.00284118878591779	0	0.00218480465038139	0.000945462647488058	0	0.00662932549657922	0.0131322925572311	0	0	0	0	0.00365110873370563
"TMEM190"	0	0.0150727184966739	0	0	0.0265741216929358	0	0	0	0.0351244139334452	0.011835607388274	0.00780665768730939	0	0	0	0	0	0.0131191930157412	0	0	0	0	0.155487624291559	0	0.0556801314111349	0	0	0
"FAM216B"	0.0198047241188906	0	0.101296741890204	0	0.409308406682317	0.00466472564433008	0.00628142505470903	0	0.0131231342934432	0.00900056384261151	0	0.00843985936217089	0.188919977433036	0	0	0.0198203775448685	0.0241660857374093	0	0	0	0.011316161082955	0.22565153642185	0.015625379344876	0.0130630608573088	0	0	1.09187461387908
"VWA3B"	4.69632788722551e-05	0.000605104573852272	5.93545743438944e-05	0	5.09180560520846e-05	0	0.000125494849357123	0.00019531517965176	0.00117265342072957	6.88897253407457e-05	0.000357463464871808	7.73132916709776e-05	0.000306164764333281	0.000251818220937808	0.000203201627374352	0.000267670808992631	0.000132080268878412	0	0.000165714866479364	0	0	0.000931692142083812	0	0.000500848033701644	0	0	0.000221161486677362
"BMP15"	0	0	0	0	0.00199675130657345	0	0	0	0.00164723117045523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DTHD1"	0.0161550621256142	0.0301639574612717	0.00983324639049115	0.000572009580769656	0.00170425229017321	0.000625068212203853	0	0.00503929434819218	0.000427365192297452	0.00189830339385816	0.0638476533996576	0.0012436559948419	0.0169619811349271	0.00326490289777223	0.130691963593078	0.0301679589409405	0.0151104514572764	0.00791555136215366	0.0214046900359602	0.00714668035543743	0.00174625020508811	0.0569454493078937	0.00211018117767877	0.00192466777108507	0.00867246131834651	0.0169172997305361	0.0413029486802534
"CH507.396I9.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GRIN3B"	0.0129893433541472	0.0141148629170191	0.00476862143134426	0.0182068675847601	0	0.00696185308694829	0.0353732537122601	0.0271799015087649	0.159560375573925	0.0193059009587128	0.0245194488444325	0.0151658212997969	0	0.0367015123234893	0	0.00432875452904432	0.0235657368340761	0	0.0278540421537834	0.0402829119104958	0.101045155129457	0.0408001348408546	0.0426590600318603	0.0789639244237882	0	0.0426134440477872	0.0779620667250331
"TEX26"	0.00182512858013273	0.00434750504121954	0	0	0	0.0017695932375968	0	0.00661087125552707	0	0	0.00120770715805928	0.00155292844463761	0.00426366032921748	0	0	0.00132202161622639	0	0	0	0	0.00217620135819732	0.00424287962239509	0	0	0	0	0
"AZU1"	0	0.0404547671488837	0	0	0	0	0.0784388186459604	0.0132785785760521	0.0182722927956581	0.0168686114534243	0.0425598894084925	0.0236908330301818	0.0956856702705553	0.0894815697322039	0.0617337205524175	0.0977849976128832	0.215462936804962	0.119519092283456	0.0449715151127083	0.0503383107346371	0.0317896509151452	0.0474873300528693	0.0807194150353433	0.169252982329244	0	0.0789394185554403	0
"GLT6D1"	0	0	0	0	0.0037718129038757	0	0	0.00962396531313202	0	0	0	0	0	0	0	0	0.0042022691155866	0	0	0	0	0	0	0	0	0	0
