"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"C20orf85"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DRC7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DNAI2"	-0.463964222441115	-0.463964222441115	-0.186429007360758	-0.463964222441115	-0.23268577887816	-0.463964222441115	-0.463964222441115	-0.463964222441115	-0.249890052937794	-0.463964222441115	0.33473157867555	-0.463964222441115	0.113417173579551	-0.463964222441115	-0.463964222441115	0.544337174820715	-0.463964222441115	0.31139487817285	-0.128431675907734	-0.463964222441115	1.88869822443147	4.19651768581402	-0.463964222441115	-0.463964222441115	-0.463964222441115	-0.463964222441115	0.831767358648119
"TMEM190"	-0.375553269979612	0.10101739548645	-0.375553269979612	-0.375553269979612	0.464669869739559	-0.375553269979612	-0.375553269979612	-0.375553269979612	0.735013833496864	-0.00133389538772894	-0.128721615163808	-0.375553269979612	-0.375553269979612	-0.375553269979612	-0.375553269979612	-0.375553269979612	0.0392506386364219	-0.375553269979612	-0.375553269979612	-0.375553269979612	-0.375553269979612	4.5406694138526	-0.375553269979612	1.38494648895226	-0.375553269979612	-0.375553269979612	-0.375553269979612
"FAM216B"	-0.271085418755853	-0.360145531576712	0.0953770602538883	-0.360145531576712	1.48047858713458	-0.3391686681946	-0.331898512295361	-0.360145531576712	-0.301131944024512	-0.319670782902494	-0.360145531576712	-0.322192221928225	0.489411089525204	-0.360145531576712	-0.360145531576712	-0.271015026667822	-0.251472756874472	-0.360145531576712	-0.360145531576712	-0.360145531576712	-0.309257744567062	0.654589698830319	-0.289879566801368	-0.301402089014543	-0.360145531576712	-0.360145531576712	4.54991914362616
"VWA3B"	-0.568778083934931	1.34797880267767	-0.526224162297281	-0.730058370854977	-0.555196672807256	-0.730058370854977	-0.299086645768251	-0.0593111621738973	3.2970429026204	-0.493478750871022	0.497535007681852	-0.464550719710224	0.321366108487572	0.134730372601748	-0.0322276922368991	0.189170991129717	-0.276471139027947	-0.730058370854977	-0.160963923991336	-0.730058370854977	-0.730058370854977	2.4695388379592	-0.730058370854977	0.989943224401254	-0.730058370854977	-0.730058370854977	0.0294496720994361
"BMP15"	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	3.80996320616633	-0.276186749660238	-0.276186749660238	-0.276186749660238	3.09470553533961	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238	-0.276186749660238
"DTHD1"	-0.0755096430901137	0.420280182809454	-0.299245480041365	-0.62701058039294	-0.586939296946172	-0.625132778538409	-0.647254612750068	-0.468908582768139	-0.632129700384896	-0.580071620330251	1.61238229684545	-0.60324029367723	-0.046951914193103	-0.531706198654538	3.97807410330918	0.420421799465217	-0.112479534646786	-0.367114763196609	0.110280317170575	-0.394325932487651	-0.585452945708269	1.36810589367549	-0.572573038391029	-0.579138556752996	-0.340326908307914	-0.0485332370007325	0.814501024983845
"CH507.396I9.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GRIN3B"	-0.512673997350353	-0.481774883425444	-0.738359122351237	-0.369436259930386	-0.869273041338036	-0.67814789455409	0.101835975693094	-0.123097762923333	3.51116989843619	-0.339264276653267	-0.196135702625844	-0.452922712507216	-0.869273041338036	0.138300925307465	-0.869273041338036	-0.750434876495645	-0.222318149410121	-0.869273041338036	-0.104590444810898	0.236621805281482	1.9047398349362	0.250821229953366	0.301854675438938	1.29853938699755	-0.869273041338036	0.300602370694386	1.27103518698934
