"CAF07_5"	"CAF07_6"	"CAF07_1"	"CAF07_2"	"CAF07_7"	"CAF07_4"	"CAF09_2"
"C20orf85"	0	0	0	0	0	0	0
"DRC7"	0.0292561004150776	0.0798110550726466	0.0141242583255893	0	0.0302931252947243	0	0
"DNAI2"	0	0	0	0	0	0	0
"TMEM190"	0.0614388667944401	0.0444149123083477	0.0590608307743961	0.109900453855721	0.0488792299250123	0.0989179662324388	0.0346727035171265
"FAM216B"	0	0	0	0	0	0	0
"VWA3B"	0.0479431118070521	0.0531498173929779	0.030882360217012	0.0547895137009157	0.0496312220693277	0.0443730716312998	0.0153627542893148
"DTHD1"	0	0	0	0	0	0	0
"CH507.396I9.6"	0	0	0	0	0	0	0
"GRIN3B"	2.15727741961416	2.16835663514361	0.943219074008993	1.38181743593195	1.21421131020832	1.25163781441738	0.921856858088414
"TEX26"	0.0845070380027511	0.127134914406759	0.120237119385312	0.0124086164911603	0.0443844822222286	0.0591100790554568	0
"KIR3DX1"	0	0	0	0	0	0	0
"SCGB1A1"	0.0277695633231451	0	0.0134030152563577	0	0	0	0
"PCSK5"	2.76734211988305	2.85618986061224	2.2673938559007	1.54536913867304	2.549729377424	2.56432842817543	2.69079294538816
"PRTN3"	0.0855053482688193	0.304206036002291	0	0.075606909018444	0.0139698973522287	0	0
"CNTN5"	0	0	0.0157462117328986	0	0.0337502344396332	0.0361135092695606	0.0233116219761086
"TNR"	0	0	0	0	0	0	0
"CCDC173"	0	0	0	0	0	0	0
"CTD.3088G3.8"	0	0	0	0	0	0	0
"ATG5"	3.43674860188117	3.20888584521994	3.62036960496199	3.39254853568165	3.6608165996668	3.52779748787752	3.77252597644125
"HCCS"	4.31703057009598	4.20705176402327	4.58554033147948	4.5102034490435	4.7363245588644	4.52346926667108	4.94469481960107
"RREB1"	2.78911809472304	2.67159148768064	2.78670994063604	1.82206095706166	2.53664498756799	2.62123011888579	2.67988441794282
"PGAM4"	0.402582396982341	0.268161292355621	0.274750771382435	0.585346262900458	0.146869878164742	0.283061881761448	0.372959032642455
"ARPC2"	6.6692723871138	6.78147058622621	6.8712264032015	7.77063972373192	6.68943450939829	6.69927954665557	7.05185974430193
"SDPR"	0	0	0	0	0	0	0
"HBB"	0.00790264892717104	0	0	1.10108739600205	0.0163236656037047	0.017474076773404	0.0444980991630967
"HBA2"	0	0	0	0.0426527486354233	0	0	0
"FIGF"	0	0	0	0	0	0	0
"GPIHBP1"	0	0	0.010614138080412	0	0	0	0
"HBA1"	0	0	0	1.59414439312479	0	0	0
"ELANE"	1.45110140638498	1.60978249899013	0.757443701274347	1.25954038908019	1.3270430479312	1.27917166366775	0.267581852163626
"TMEM100"	1.23632182273112	1.3967565770795	1.6480184025489	1.53250993107594	0.133937349126292	0.0643029396231331	0.573558700820931
"ADAMTS8"	2.9439093164362	3.01946458247735	4.30073966418451	4.41779465217526	4.625330222296	4.78042554156203	3.5991340917224
"EDNRB"	6.68372658931791	6.68674511215667	5.43863524584408	4.91768036223323	5.99303850180417	5.99266349049361	5.53804925276473
"SCN7A"	0.0136093715257456	0	0.184664763361022	0.015579334034646	0.282123611350155	0.366388372178485	0.124441575786883
"AKAP12"	5.81590113527604	5.61193222788003	5.20009143035167	3.84140200498161	4.94548664539171	4.90765965249726	5.37565310154469
"IL6"	3.84994918268268	3.99185904764508	3.34593086593114	3.29493579719955	3.66110868808886	2.78199407648931	1.83284991975413
"CCDC141"	0	0	0	0	0.0366264748836969	0	0
"ALAS2"	0	0	0	0.0513254710216009	0	0	0.0215150947637707
"PTX3"	2.38597703770778	2.32332041295282	4.0771757531991	3.57156630085594	3.96999883725677	3.1492788110495	3.49292241175797
"CLDN5"	0.0948288443382378	0.312028645412814	0.0187067798761434	0.139042305427022	0.0400492240140191	0.0428470587845122	0.0902766254625673
"SFTPC"	0	0	0	0	0	0	0
"CXCL2"	2.76870851361234	2.76152650621727	2.94487094596305	2.69586363283524	3.19352144671839	2.10976172545645	0.738629448328493
"GRASP"	0	0	0	0	0	0	0
"MEDAG"	4.32506324272283	4.37609576274315	2.42334364242055	2.73537974450145	2.80692769728388	2.71687127835165	1.88499607114653
"RGCC"	1.86644474875934	1.70722344085722	1.05133720233929	1.4232585133729	1.32867233015974	1.36184522927357	1.53866792995262
"MPO"	0.115143995016653	0.127334072726082	0.0228439128058304	0.0272034704582871	0	0.077648545467839	0
"MUSK"	1.65325503508561	1.70522220598959	2.11852939279233	1.64108499304425	1.63623515718655	1.74086789547975	2.36699195325677
"GIMAP5"	0	0	0.0246879449156822	0	0	0	0
"CXCR1"	0	0	0	0.0594104661143051	0	0	0
"AGER"	1.72854827243132	2.02860484962764	1.12642605264775	2.09044677448475	0.941075223314236	0.961578616154712	1.06794276565764
"DKK2"	4.65538522683466	4.84834121111997	3.79933732271472	3.03865892133713	4.73856559693356	4.85936280400393	0.806154206720985
"NDNF"	0.0543007717763893	0	0	0	0	0	0
"CYP3A7"	0	0	0.0141626487387335	0	0	0	0
"PGLYRP1"	0.0346086586145209	0	0.0379461914405476	0.0339890816213996	0	0.0220333228227115	0.0188999553267661
"CCL23"	0	0	0	0	0	0	0
"COL6A6"	0.23484218663715	0.375918327043116	0.272782216065821	0.117590674595741	0.603878300783832	0.572472765345291	0.0761502374838636
"HIGD1B"	0	0	0.00965946176797502	0.0229346931763532	0	0	0.03786193406757
"SLC6A4"	0.023668159732368	0.0773954791870816	0.0227405216504923	0.092638095018688	0.048608166360312	0.0519932322395242	0.022505173298628
"LRRC32"	4.25910271972014	4.29865079581019	4.44329461591238	4.71798391208869	4.24572026330919	4.26099623979089	3.74036414153664
"COX4I2"	0	0	0	0	0	0	0
"S1PR1"	2.52940671453556	2.36050250836088	2.67656061472458	1.91381626870413	3.73216083767132	3.69754247611278	1.71690548611435
"LRRC28"	2.01295291406186	2.09914611228864	2.01328947953288	2.68552142216205	2.39086066384564	2.57216379398537	1.84865293405161
"NRGN"	6.50531723393384	6.58510047863756	6.44568962126294	7.92384427044238	4.86980062399938	5.02598028875676	6.56127003803759
"FLI1"	2.95914008387394	3.0595927814244	2.92198730314509	2.40944016603812	3.14150246119674	3.23772969149561	2.73467484892272
"STXBP1"	4.55832782371124	4.37407993351779	4.01476188970868	3.88104637044747	4.31091969556669	4.34414974157898	3.92630564445159
"DR1"	4.21332299027979	4.1530629617907	4.06443397434484	3.47868315225662	4.10014727285062	3.98922895113059	4.50615884900492
"INHBA"	5.8378528735144	5.46028832872178	5.64921807624311	3.376551335336	5.47409418328223	5.3717388465229	6.19638152680836
"TNFAIP6"	4.60437070265068	4.64142060105904	4.38611032463038	3.75750575275883	5.1400873579662	4.3717042662779	2.2108749572508
"DIRC1"	0.0949764712965811	0.226562940238844	0.197940510997029	0.303171426140965	0.0982652060419872	0.380654448488403	0.0459169129409909
"MMP12"	0.245695976545553	0.0367146747015706	0.142774138261376	0.168727106273312	0.153395246652972	0.22851168743891	0.278858884210143
"IRG1"	0	0	0	0	0	0	0
"WISP1"	0	0	0	0	0	0	0
"PRF1"	0	0	0	0.0554352155566128	0	0	0
"SULF1"	11.2029948389346	11.1326609664749	11.0607966151579	9.78953150952549	11.6392743852154	11.6456042831757	11.7101509665584
"SIGLEC5"	0	0	0	0	0	0	0
"KLRD1"	0.638026000164787	0.914569535609026	0.28792404370981	0.102344512562872	0.518123214279861	0.530999887646642	0.267030814147448
"LUM"	7.92392743608395	7.93641006708212	7.10396858806589	6.26947750874057	8.01055834136807	7.845974515054	5.54244172823509
"FPR2"	0	0	0	0.0080305051655584	0	0	0
"MMP8"	0	0	0	0	0	0	0
"COL15A1"	10.3536651488392	10.3252523505803	11.1135711611172	10.1913367059048	10.5560636442288	10.6149908947054	10.039136594938
"CEACAM4"	0	0	0	0	0	0	0
"CR1"	0	0	0	0.0616029043114597	0	0	0
"KLRC4"	0	0	0	0	0	0	0
"ADGRE3"	0	0	0	0	0	0	0
"MRC1"	0	0	0	0	0	0	0
"MMP1"	5.45897538393742	5.42520012186984	5.49486298833376	5.60001822416318	4.59612722192515	4.62117018749366	6.08136625109902
"CLEC12A"	0	0	0.0276041124916291	0.127181457070239	0.0297466843722544	0.016004147157831	0.0934351785120461
"CXCL5"	2.74482424770706	2.61833506125318	2.35717830001786	1.4748411180554	2.41747550099257	1.52733084852108	0.948908129608787
"DAZL"	0	0	0	0	0	0	0.0677181128690687
"NCR1"	0	0	0	0	0	0	0
"IL11"	3.41380617227315	3.52660545746938	2.47433193318307	2.65905960688505	2.24883566553882	1.60837780115097	2.82260017765491
"THY1"	13.7252121360317	13.8655717468825	13.8865788636814	14.8479510655793	14.3058355487361	14.2506412065601	13.5304344106321
"THBS1"	10.9130098905937	10.7451894196292	10.3163334921564	8.26456281895245	10.6750947981711	10.6520326101876	10.4147784559525
"LY86"	0	0	0	0	0	0	0
"OLR1"	2.87722240332215	2.77370305252917	3.71779606114157	3.19276615762869	3.12296093099321	3.06703396176094	3.42274392086319
"RNASE3"	0	0	0	0	0	0	0
"SIRPB1"	0.0205991729677123	0.0114751785586837	0.00992943437407065	0.12512805975864	0.0213316054860114	0.0892375100557638	0.0767972885251496
