"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"CE1"	0.00725658256702819	2.71731892390108e-06	0.2024009790357	0.709426466840859	0.110665081479931	0.400294588976193	0.312249740565817	0.330017677475578	0.000462395536313234	0.00270150582337842	0.0113673106109664	0.0257583933879738	0.063976209790821	0.254294664995316	0.122492417324909	0.0156425021335687	0.14742985802922	0.000120922542950504	0.33085894678612	0.632885922898894	0.0117461029622368	0.121003199792539	0.0134848848087349	8.66653010552823e-06	0.55907481960392	0.00214540619859572	0.286016631593924
"CE2"	4.41644934324814e-08	0.196876356989481	0.107019132258416	0.858564000586454	0.48798351462664	0.616035100855503	0.067469404648216	0.636832885775189	0.239668670063654	0.902746628615992	0.00110756174420708	0.128352493299245	0.130341630892639	0.000141769940527114	0.00111298011541565	6.47254923629502e-11	2.75854510990268e-05	9.48148182470628e-05	5.173523271897e-05	0.104325877631898	0.137425821936994	3.0838423777509e-05	0.622360877590409	0.0212814556425455	0.841571414300992	0.791895305987831	0.0205918001119981
"CE3"	0.247265491990894	0.226942428599857	0.235348955331965	5.72156348915549e-06	0.292547507689013	3.26070324745251e-06	0.691482967541585	1.04899141504615e-05	0.00702831503227045	0.00211791022469695	0.099691930964506	0.324227798711638	0.384798312770424	0.0279037848470306	0.0382178944076988	0.696852518536171	0.0107887977071111	0.0143716576823581	0.49398821901144	0.248692969512905	0.39854850170242	0.553753041291678	0.0951031998143688	0.00467785537590146	0.0999234640088656	3.30936539858571e-07	0.000607515130382071
"CE4"	4.16298231720633e-05	0.594904254680479	0.62173841093321	0.00151829851476281	0.0166685684556781	0.239301604850088	0.413540569461025	0.0172697254442818	2.86855712911e-06	0.037212251896008	3.48806370253206e-09	0.0229863332855117	0.148607487113462	0.0142363391966079	1.52759223201528e-06	1.93765733304649e-11	0.00106027898682182	0.362168149234739	0.000720396390950725	0.000372092653690821	0.760826747147476	1.5096205966577e-05	0.522453533302393	0.00111612141434989	0.000609350479989126	0.000383023837553789	1.14494805523596e-06
"CE5"	0.066752523765324	0.13261553608716	0.366366361766448	0.817462547512045	0.6276355710338	0.395830728203355	0.605334265488514	0.853004910589606	0.240939832907717	0.0247321624371	0.00209687921938465	0.00103386571257673	0.223043102630569	0.473885472577146	0.00307742818368576	8.15519905041391e-05	0.644610428899385	0.0352579638093536	0.00311774371104418	0.522642106622585	0.235711233292073	0.0132734172093853	0.0458840236210271	0.273405410088909	0.000631884849539933	0.740432908374214	0.0149535311770839
"CE6"	0.00072499723026776	0.0895275019428869	0.420442107375376	0.100466786811253	0.0897852154048133	0.145203636189856	0.0329990628300201	0.000233406053496164	0.150870368219456	0.00203547148850127	0.854516946451245	0.652189633409577	0.00407330857290448	0.378079044664422	0.00429301063157538	0.00111803569486498	0.768843587661996	0.320487356359549	0.583116838769504	0.758649950242431	0.330087527718245	0.0209695610849581	0.933290604972997	0.460426835660823	0.59281931001665	0.269973478878889	0.103339381054809
"CE7"	0.925313059653444	0.766960957440093	0.224857277381559	0.00221134136276028	7.16217678414051e-08	0.482916749202718	0.831167387422762	0.0124075303314294	0.352969353226281	0.807637070173452	0.0143849221601379	0.774762561220141	0.874868814844424	0.0505497976631397	0.00293773466864434	0.00178657218920747	0.0303864801351124	0.00908539768995422	0.7958576065253	0.129269935598107	0.0384217617046559	0.749889215857088	0.357793014362048	0.000476977579615089	0.136709338694876	0.247609673561679	0.000579504283385255
"CE8"	2.60109942716713e-05	0.0555482393244053	0.0653454285103375	0.123695549515024	0.313190120307836	0.0200549571085632	0.118094556564734	0.26000049270541	0.133888227795756	0.0568643583348766	1.72138508065967e-06	3.04204820078106e-05	0.0384065118735179	0.715063640776957	0.00756258404201842	3.68671592726258e-09	0.0688547573218905	0.974431511606165	0.228377627224771	0.09965420842699	0.545615686925778	0.614448172540893	0.274930877176873	0.00524776647257634	0.112683907778412	0.00601973847846952	0.0185296893977994
"CE9"	0.0926529911333515	0.0692761576993518	0.000179960519525382	2.61446760712321e-05	0.00345398124554633	0.00161441835991558	6.31546082533099e-05	0.0555531543927516	2.26029817565867e-08	1.04482196735309e-06	0.167309964794945	0.0373437458690552	0.931732551175762	0.0211618660860488	0.000788441672128658	0.656974933420569	0.0330262895261342	0.0230883033028985	2.85194420298754e-05	0.135621186147941	0.287028888776001	0.0740608590937946	0.0225608426369959	1.01833610546102e-07	0.0480373493680537	0.246199826849864	0.162194286806433
"CE10"	0.186265843717913	0.00220533710069374	3.02755046424891e-06	0.000397870661643628	4.79532338229625e-06	1.15626898870855e-06	1.13506506421658e-07	0.0190691778801522	4.87962316530528e-09	0.00963043476594343	0.0537001126022006	0.000292122759858725	0.0772556864977855	0.0234893745156348	0.000400076407310163	0.445985493186899	9.30888199640023e-05	0.498193160899216	1.01975112010794e-05	1.51006438297271e-07	0.682317895799458	0.670339125954552	6.95848255407158e-09	6.16614007971824e-09	1.73206838158383e-07	0.247933862586992	7.39987745289952e-08
