"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"NK.cells_S03"	0.561066663310481	0.0300206753339327	0.0843711482729676	0.0641999540056789	0.0837251722122661	0.0600600836416997	0.218724503974603	0.236806524851513	0.250785537222964	0.136416735539115	0.352189934035067	0.0810104900957418	1.93972963338657e-14	0.129301814159657	0.0298267732935835	0.578963433273286	0.0472451795347089	0.0731327733428475	0.230596309844347	0.0978171222792689	0.0439677222927371	0.0621926825063678	0.0584908003496968	0.209057888016097	0.0678388313801834	1.7682527302315e-14	0.123977173624201
"Monocytes.and.Macrophages_S06"	0.139514231029538	0.00484435929104023	0.0197487234177895	0.0262458213455444	0.0753327522861505	0.0791837640858723	0.11905721033903	0.013394956591647	0.176339368659023	0.188407600036588	0.146639516244147	0.139429060694455	0.0475635236199186	0.106329439418724	0.000943463601753142	0.149758959091585	0.0883324887402744	7.15052025859578e-15	0.0189082988825612	0.0192236215851311	7.57837005854529e-15	7.26952155090029e-15	0.12993796788273	0.25727016093886	0.00731144050786696	7.07440261533979e-15	0.0010644808391938
"Dendritic.cells_S08"	0.125936872223351	0.00213968123398378	0.00505874929605954	0.00991461431235857	0.122738696529728	0.0742477476132962	0.0593908586921966	0.0639769450459853	0.254973551338965	0.138590520201452	0.119016999612607	0.106323188729255	1.81512027935136e-14	0.0337462468290059	1.03802854261492e-14	0.153266959135853	0.0974851037513075	0.00356470107751467	2.21877682924912e-14	2.21252349847928e-14	0.00154227836644807	0.00948689482288007	0.10696273543221	0.342180491115024	0.0285600908635631	1.81803541648831e-14	7.87161934273764e-15
"Mast.cells_S05"	0.345483995423163	5.67043952186337e-14	0.0637767436265951	0.0326513824630611	0.123440237285196	1.2099929211266e-07	1.25116609590038e-14	0.118708516765077	0.185961474736599	0.284645090537365	0.37706581446348	0.269245233399693	0.0136248761990204	0.157863343393394	1.30364521742374e-14	0.278975763679591	0.106732767655427	0.0646621312364854	0.188838730233292	0.0602878403596571	1.05579098106382e-14	0.0520561848283868	0.131966176773376	0.191028994406589	2.60718224479085e-08	1.55367107142697e-14	8.97845568043747e-15
"PMNs_S03"	0.324111888887369	0.0492085801414992	0.105883053502548	0.0109195318346048	0.182189151801486	0.0838786405453202	0.236134084054648	0.0911067669248145	0.240755839138954	0.419872347028597	0.73544775959471	0.57495184830217	0.182160372772965	0.217325899040682	0.39372758899754	0.532546169180058	0.405760251033614	0.0225133110162562	0.410870326337402	0.112724275842933	0.0697397340096052	0.154308650956282	0.15211516486166	0.233521430084595	0.0451274020201356	4.54958676150318e-14	0.434990187096562
"Fibroblasts_S03"	0.21466711556682	0.00447202798507186	0.0247064396997844	0.000398238737958075	0.0759841172406937	0.0403675093946696	0.0662796875920488	0.0288289704574237	0.151462762056077	0.146193313068089	0.188633473467818	0.134248732612694	3.02272107039454e-10	0.0632873531529457	0.000535589859953341	0.303253544806434	0.198660465853582	0.00351598832972194	0.0347583229469949	0.023459929856965	0.00069778190337962	0.0345213182218361	0.121015849098367	0.185742806407906	8.6968048270394e-05	1.07876483086089e-14	0.0101481796130016
"Endothelial.cells_S02"	0.531654020859227	4.68138598009419e-15	0.123909839496528	0.195952632489582	0.43556851432349	0.0686478616269007	0.12592738425053	1.93014273749171e-07	0.375032289355791	0.397038578487683	0.599872790201534	0.371094287374587	1.18915030357148e-14	0.040701001363044	1.70863790765529e-08	0.286363608214385	0.223228649073519	1.28974778588837e-14	0.190606065089442	0.219156913862999	0.0465779064595935	0.150102730434405	0.212924122056494	0.331225897265759	0.166836402327889	0.0107792978935244	0.0608526736623884
"Epithelial.cells_S03"	0.352125172412082	9.22988662494551e-15	0.0434377212008173	0.0831118772714526	0.134725654507897	0.215544140746835	0.116050426302138	0.0214561275477323	0.404052577823561	0.281715331168627	0.427481729867935	0.442754853919953	0.0607919994342492	0.211249806565967	1.1281806697395e-14	0.240063279963751	0.227279277992935	1.83185586044158e-08	0.110030922684816	0.0849757899971835	0.0075661631102347	1.0963512196116e-14	0.288182826836297	0.296050748682982	0.0588270647926485	0.051043621700395	7.16553146900647e-07
"Monocytes.and.Macrophages_S07"	2.68714189918708e-09	0.107835604933703	0.0328648078875838	0.0466406827955608	0.0855533512743379	0.099545655060126	0.000207771989466776	0.0968311283568607	0.253752892284027	0.168873705241476	0.0386901946363101	0.281590522790762	0.0116674965289647	0.0307851519903706	0.077093284621894	0.00379661947767182	0.0265713988714711	0.00304870620999822	0.0540594375682325	0.0583895039298276	0.237429036363746	0.0404581836933344	0.135454584117394	0.0850902816763643	0.0682019721990736	0.0756118011822492	0.122545340014131
"Dendritic.cells_S07"	0.0250443316819707	0.0571834437181156	0.10007038603555	0.0459104997732679	0.077068503360514	1.85166538021632e-14	0.0982802914530382	0.0120845503229602	0.167920159197726	0.0573993221123975	0.0856782488156715	0.38091539180024	0.0837434825015436	0.0290016009525673	0.0175011221632754	0.0187359549847709	0.0382509662497399	1.65672416972883e-14	0.01394446210915	0.0598315010426918	0.064531948296066	8.78744994676943e-15	0.0378991076953354	0.027983561889977	0.01975668563475	0.00253193934002994	0.00917877541892867
