"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"CE1"	0.279704932446905	0.0121719662305145	0.0701384672382383	0.111438602174682	0.172301326340445	0.133659339551037	0.135496876920215	0.0847729145047279	0.274767384001739	0.273043634894873	0.298471932608572	0.246753611122656	0.0403318704520325	0.112346668633916	0.0488763294397221	0.244326056705673	0.159629913298055	0.0269982135791238	0.165525616664135	0.120943184923184	0.0265746212229872	0.0705633470417039	0.189221424693866	0.298549777549175	0.0765060963065522	0.0227708429403295	0.0699994265485201
"CE2"	0.0111116764621658	0.0546992570754934	0.0427424787893998	0.101107113762521	0.0787728728638763	0.0814573944386158	0.037151957206013	0.0959859846767053	0.16327394452183	0.106195170908751	0.038076648768237	0.256620464437531	0.0456905799042277	0.0240968098204543	0.021920159935632	0.00436375486491697	0.0255989742072471	0.0136212793529016	0.0363840807549487	0.0482577925648334	0.452771693384676	0.0153274515760967	0.129906940937919	0.043696228699617	0.108938832036192	0.121771695619725	0.0292238489326192
"CE3"	0.0697247828038224	0.146548073553017	0.0639678995744194	0.000569872842997946	0.132769386133101	0.00560693125219201	0.122550332129727	0.0119240753293693	0.0246466801595382	0.0295599858883027	0.191881583464448	0.132227954119065	0.0540223642757011	0.0362487660669754	0.0638183179612828	0.13910191006718	0.292799412657611	0.0408108175766418	0.140845599174884	0.0835343006282522	0.0438150194533968	0.0768639274119854	0.0486307033538727	0.0233798096163812	0.0335488002668658	2.7984752599769e-11	0.0239849993834032
"CE4"	0.0131850658831016	0.228514626351386	0.0738764041677485	0.0243327847941417	0.025034840143241	0.053956536286622	0.152735159872549	0.0298834168964534	0.00820594592886066	0.0594270111093583	0.00685878658909528	0.0217192062769429	0.258873316244821	0.455484376413019	0.00607728585886201	0.000296670713016053	0.0334559037412948	0.093317969122272	0.016992818076578	0.0192162005333248	0.121984898484763	0.0398475474867789	0.072584282889204	0.0153868394781767	0.0196695692327931	0.0204237447414079	0.000648511081251754
"CE5"	0.0531898502117093	0.0511839962230782	0.148346186468763	0.0814672658454516	0.0730248148744825	0.155169144422122	0.0785745541051317	0.122644541076507	0.181865629286004	0.156501030212588	0.0510504106976328	0.022481905961943	0.166953911438463	0.13335781993157	0.0370591860598287	0.0287385326418647	0.0933745720443389	0.231937160055066	0.0286647435394775	0.0705860467265432	0.0440266859181343	0.0546718338113942	0.207652289143952	0.194849930522397	0.186909698710588	0.125582446232008	0.0464124052203552
"CE6"	0.265678190105164	0.15780058663568	0.125090223318193	0.0497658297855722	0.0572978499340739	0.0615390229179879	0.211296598383701	0.323457871304405	0.076681344055717	0.045003688572649	0.119697133654149	0.115081192030772	0.0347789163885627	0.0624199444057175	0.0466968003866771	0.25249180813484	0.112051289834998	0.147544429008124	0.131803284636877	0.0953226440026375	0.0605630253265892	0.174574921520545	0.0977896993606724	0.135522211852668	0.0822438656880475	0.0762831371839076	0.067444359140243
"CE7"	0.119090422609279	0.102906073176268	0.185378461448628	0.369969537397014	0.253816749304392	0.15207188013503	0.0946042202313651	0.053005591280868	0.0814303748562841	0.113472014477351	0.049259735496618	0.111696199158936	0.0938174042644742	0.0223212031907875	0.0298028839684984	0.0374646793005547	0.0270251795748149	0.0427270715775193	0.104719943177621	0.243779015255136	0.0290922605035278	0.121566275068438	0.0504838531972611	0.032036879296468	0.227134502551465	0.149573425824182	0.0208359727331303
"CE8"	0.033553362716026	0.155503895131979	0.25238453376474	0.234552979576412	0.151437056257707	0.331254168439955	0.137275052974663	0.165111784092418	0.180515869498475	0.157323076461177	0.0310908613285544	0.0230373246642644	0.158681009349955	0.0738986205023184	0.0520952960902981	0.0133212194170258	0.0580279507508985	0.107461604541264	0.0808959818756538	0.24303584410396	0.106085238484865	0.133033296295747	0.147615234187446	0.236547522920001	0.22182286527643	0.356410721660477	0.0559755494774452
"CE9"	0.0650984897213576	0.0583123157319919	0.0244547875366505	0.00840970564262469	0.0406454913116675	0.0224324855713744	0.0156420176252325	0.0568269549286682	0.00665140659820902	0.0148658207187797	0.14404112562997	0.0500600115783225	0.089421145319807	0.0368371125192925	0.414002256136649	0.136006703060089	0.17271176609	0.207796067433208	0.264777604541164	0.068421595199307	0.0450337077238479	0.181186956335313	0.0453314066643122	0.0144886651146626	0.0405173150787716	0.0666090731875029	0.205509393578313
"CE10"	0.0896632270404688	0.0323592098905919	0.0136205576932195	0.0183863081785834	0.0148996128370134	0.0028530969850635	0.0146732305514033	0.056386865909877	0.00196142109334362	0.0446085667561708	0.0695717817627232	0.0203221306495675	0.057429482361956	0.0429886785159498	0.27965148416255	0.14388866509484	0.0253250378007423	0.0877853877538791	0.029390327558661	0.00690337606282152	0.0700528494972122	0.132364443451998	0.0107841655714949	0.00554213495045322	0.0027084548522943	0.0605749125824766	0.479965533904719
