"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"1"	"Pt1.baseline"	"CE1"	0.00725658256702819	0.0163273107758134	TRUE	"CE1"
"2"	"Pt10.baseline"	"CE1"	0.000462395536313234	0.00208077991340955	TRUE	"CE1"
"3"	"Pt12.baseline"	"CE1"	0.00270150582337842	0.00729406572312174	TRUE	"CE1"
"4"	"Pt13.baseline"	"CE1"	0.0113673106109664	0.0219226704640067	TRUE	"CE1"
"18"	"Pt32.baseline"	"CE1"	8.66653010552823e-06	7.79987709497541e-05	TRUE	"CE1"
"5"	"Pt14.baseline"	"CE2"	0.128352493299245	0.148419887691953	TRUE	"CE2"
"15"	"Pt28.baseline"	"CE2"	0.137425821936994	0.148419887691953	TRUE	"CE2"
"11"	"Pt23.baseline"	"CE3"	0.0107887977071111	0.0219226704640067	TRUE	"CE3"
"6"	"Pt15.baseline"	"CE4"	0.148607487113462	0.154323159694749	TRUE	"CE4"
"7"	"Pt19.baseline"	"CE4"	0.0142363391966079	0.0256254105538942	TRUE	"CE4"
"12"	"Pt25.baseline"	"CE5"	0.0352579638093536	0.0528869457140305	TRUE	"CE5"
"17"	"Pt31.baseline"	"CE5"	0.0458840236210271	0.0652036125140911	TRUE	"CE5"
"10"	"Pt22.baseline"	"CE6"	0.00111803569486498	0.00377337047016932	TRUE	"CE6"
"26"	"Pt8.baseline"	"CE6"	0.0329990628300201	0.0524102762594437	TRUE	"CE6"
"27"	"Pt9.baseline"	"CE6"	0.000233406053496164	0.00126039268887929	TRUE	"CE6"
"14"	"Pt27B.baseline"	"CE7"	0.129269935598107	0.148419887691953	TRUE	"CE7"
"24"	"Pt6.baseline"	"CE7"	7.16217678414051e-08	9.98983456141435e-07	TRUE	"CE7"
"22"	"Pt4.baseline"	"CE8"	0.0653454285103375	0.0882163284889556	TRUE	"CE8"
"25"	"Pt7.baseline"	"CE8"	0.0200549571085632	0.0338427401207004	TRUE	"CE8"
"9"	"Pt20.baseline"	"CE9"	0.000788441672128658	0.00304113216392482	TRUE	"CE9"
"13"	"Pt27A.baseline"	"CE9"	2.85194420298754e-05	0.000192506233701659	TRUE	"CE9"
"16"	"Pt29.baseline"	"CE9"	0.0740608590937946	0.0952211045491645	TRUE	"CE9"
"21"	"Pt38.baseline"	"CE10"	7.39987745289952e-08	9.98983456141435e-07	TRUE	"CE10"
"8"	"Pt2.baseline"	"CE4"	0.594904254680479	0.594904254680479	TRUE	"Unassigned"
"19"	"Pt35.baseline"	"CE7"	0.136709338694876	0.148419887691953	FALSE	"Unassigned"
"20"	"Pt37.baseline"	"CE8"	0.00601973847846952	0.0147757217198797	FALSE	"Unassigned"
"23"	"Pt5.baseline"	"CE7"	0.00221134136276028	0.00663402408828083	FALSE	"Unassigned"
