"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"CE1"	0.00733100030658178	9.59713484093347e-05	0.0947523056300808	0.713616796273067	0.142306081948147	0.459053599866476	0.317684942076991	0.274751837436559	0.000707897976690415	0.00169479119635934	0.0106577839814315	0.0272616030354433	0.0596879969446006	0.201336678995949	0.14503482077995	0.009782093887263	0.207114713993549	0.00637434730732295	0.284986072644139	0.557440468118077	0.0224343028447436	0.133898358026705	0.0166424880226132	3.75227806868087e-05	0.712585402133626	0.0117304150120721	0.30825359963044
"CE2"	3.56932655362327e-08	0.350889589432073	0.179138776442942	0.56882421502385	0.238576186159043	0.560825180168497	0.109371155972209	0.146338249394167	0.512978641970098	0.609729119404441	0.00087437511333125	0.142047287750648	0.348340930346149	0.000486189855559168	0.00032988205855056	1.8919048155926e-10	5.26048827291662e-06	9.79044026125899e-06	4.57363069239209e-08	0.0236848265690339	0.148098725791848	1.57729665366961e-06	0.717349226450308	0.0126016568430761	0.783048512158847	0.759801139303168	0.00247943470412821
"CE3"	0.383461231920698	0.28354021134628	0.208128636706223	8.57645511360258e-06	0.276455910667264	3.05587588827245e-05	0.912097137856079	1.89387477909629e-05	0.0080747846435078	0.00352991309915952	0.0755314689807952	0.603960312309468	0.335997002990004	0.0068047809194318	0.0346888050868617	0.578969895700176	0.0129216498808346	0.00900459170864325	0.435953724158238	0.16393087774401	0.388302108142911	0.674004441539305	0.0897745322094887	0.00267940901274947	0.132986106226026	1.23944234488788e-06	0.00018441475506997
"CE4"	0.000249606753155947	0.585940992927256	0.636527054087323	0.000585490607871637	0.0357722673449626	0.0841145776389518	0.311403783742712	0.0095821343658015	4.54894341452539e-08	0.0202731929823642	8.8030771574818e-07	0.0432327682711454	0.197659473069347	0.0111369066549398	3.06608339169201e-06	6.74801688977506e-11	0.00325025491109591	0.350324968567125	0.0068142060994201	0.00177143428525046	0.92023595321486	9.29759596404885e-05	0.522271058328843	0.0038474183499005	0.000466013946096297	0.00628835194467838	5.52769359039049e-06
"CE5"	0.104008850355215	0.168467809967456	0.379148678077353	0.786415793410683	0.582750679020046	0.420014855334196	0.681560261291846	0.430880305145707	0.198695532630088	0.0217968458782787	0.00444729301129427	0.0036139891639963	0.19839669868457	0.45871206677781	0.00356843933485232	4.68674531032452e-05	0.573242785202607	0.0575297621640004	0.00234238190678289	0.41392607721308	0.381195396032367	0.0441687091067121	0.0534439125475144	0.29212013641323	0.0339202186475497	0.854941140101092	0.00731414960767541
"CE6"	0.00110067261538956	0.113725513638353	0.345181385075155	0.125946494305668	0.0963429994917873	0.101359976657699	0.0374348602560308	0.000315446240715505	0.160506591822693	0.00399221562349992	0.739441715037968	0.967077239104935	0.0059710532808697	0.188444331876468	0.0047742305509644	0.000807996726378803	0.629252992051766	0.427171165930149	0.518937241186698	0.985811498457574	0.318904632419259	0.0152623879470223	0.765681231295964	0.569800902301465	0.279207472754879	0.311047706083912	0.0383049382443612
"CE7"	0.923414153925046	0.651379571143559	0.161320595490011	0.00537478763548082	6.84927106310331e-06	0.341915069154855	0.594567241655739	0.0110759404186443	0.286174707408647	0.745029649253307	0.00336050647733491	0.820754189372709	0.774648537090713	0.088500744410451	0.000141400748934827	0.00011383781838019	0.0238356194162359	0.0307855782801158	0.761328232901603	0.0803420395239274	0.066792554641604	0.677722755839662	0.161290419321915	0.00126034275102739	0.0975067310934217	0.121049083689639	0.000157499834523102
"CE8"	5.46766503680827e-05	0.0515026805785508	0.0554227812684587	0.099813835607716	0.313378532188601	0.0156549485005296	0.0670723954558836	0.111562491585328	0.198311076992482	0.0697210363518895	5.42819086453887e-06	1.87379453747059e-05	0.0155858951410813	0.731012226716187	0.00615990513000346	3.32714571409426e-08	0.106690285674067	0.56009907785108	0.460586236340244	0.0780682076722581	0.731772421873523	0.481956680975273	0.263046238252822	0.0048024421206427	0.0920203521711687	0.00409783647869059	0.00647538690055584
"CE9"	0.0610155802279404	0.0169412970555657	3.5189559924436e-05	4.28531047567134e-05	0.00889369025364741	0.00195002971874755	1.6939832747481e-05	0.0156635474639884	2.27776446965099e-07	7.98524720139946e-07	0.269298454776052	0.0652261256193366	0.161907183353316	0.00476700529798892	0.000389136427423186	0.778624248053582	0.0980367962722015	0.0265413251878951	0.000190521934435423	0.0308478064795846	0.347802308271604	0.104092095160639	0.00702977405359393	9.10139960229774e-08	0.0379585356862993	0.0724763798359709	0.169597525351581
"CE10"	0.0509335751672056	0.000292718405500785	2.51088487929023e-07	0.000708344227413801	7.55655060863075e-06	2.2089583009057e-06	3.05253811639083e-07	0.00152892152550555	2.51260554498582e-08	0.011896531439905	0.00707585934444511	0.00076481541548862	0.0121071465063408	0.00356089960059677	0.00843437642041153	0.886456671003655	4.9928604685297e-06	0.212790658696119	5.09677864369718e-07	1.21919764588941e-07	0.756415154301451	0.976974659234379	4.57047380757563e-08	2.2777035271887e-08	2.33591984074453e-07	0.0850329392565194	9.48861199245543e-07
