"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"NK.cells_S03"	0.000249148532947117	0.112709258497493	0.161185032610748	0.0896411007597724	0.176564463099729	0.159571077174894	0.137918900932077	0.177695906656153	0.0385872186493397	0.0670996721108885	0.0421047560150218	0.0450161619043788	0.184402545793221	0.220060522091295	0.0288241062771563	0.106760211196267
"Monocytes.and.Macrophages_S06"	0.0910818359705394	0.027465309629018	0.119577916483387	0.137983681850431	0.077915645592069	0.0951491338722961	0.103508284814624	0.0880478684964814	0.0102906622717051	0.0220184811143079	0.0430529260958355	0.0115736281472723	0.0723080341406901	0.0588170335050222	0.00893070511025282	0.0356011098565512
"Dendritic.cells_S08"	0.126111845765347	0.0519545612494972	0.0332166509168441	0.0543657593281667	0.108280885299797	0.0583898197350318	0.144309997057413	0.0409105544413158	0.0243486589603262	0.0344391967743086	0.00980188857949119	0.000228049558595688	0.0289411402137095	0.0372917306578559	0.00214960473571971	0.0261458693724793
"Mast.cells_S05"	0.283399526571387	0.0218963047673434	0.0474805299734368	0.173255931250142	0.118377540540217	3.63552457468086e-09	0.202819120121022	0.046702912618038	0.269111535602335	0.299035421376002	0.276880679653464	0.187392087007806	0.082113525119106	0.0575025784069726	0.106945291307703	0.180997709538037
"PMNs_S03"	0.0923556020621667	0.202940224320758	0.21742232463161	0.32021386257537	0.223282660435709	0.152046127198115	0.19799033382774	0.101471040551273	0.3324696543936	0.378135414494011	0.292395035555676	0.165555418458073	0.350488177587076	0.199649994140745	0.201472153676853	0.0395309009591513
"Fibroblasts_S03"	0.103951053719563	0.046943022708097	0.0983097988386566	0.122470169983363	0.0955600467593122	0.0984331448778731	0.115641291999112	0.0622125425413529	0.0382422560651318	0.0619252447580826	0.0363372862731693	0.0455332139996258	0.0993255266862444	0.0845002012674609	0.048348536406792	0.0613887120158036
"Endothelial.cells_S02"	0.323508404553398	7.91259216911663e-15	0.0365271153458438	0.225501699892665	0.158493618683548	0.114229985899483	0.224189482288088	0.0069453575544744	0.332078332497183	0.412962214458117	0.328164969294288	0.244421744749358	0.283099084259946	0.324523397606525	0.293312155111772	0.150524810738897
"Epithelial.cells_S03"	0.0903216076635295	0.0378152063311805	0.0496236106516835	0.0636483820933695	0.215280190448377	0.18947996620702	0.0617017863221974	0.0244093352984436	0.191581416257148	0.180793896271419	0.101170507311818	0.107607253833869	0.187627979997457	0.226464996083243	0.135877944037851	0.0966931472018389
"Monocytes.and.Macrophages_S07"	0.0918977656499449	9.62599688710202e-09	0.0325091139710817	0.0941954223174437	0.130984417869395	0.0493407611667325	0.00474266693087407	0.00627672015447545	0.0921346451434233	0.155924284017401	0.12042879778669	0.11110156873921	0.203280420923716	0.209101728914493	0.208466453857177	0.164817264896507
"Dendritic.cells_S07"	0.0575000362261168	0.0182034764942258	1.00551590553642e-14	0.0139346673094941	0.073931536753116	0.0994817553333513	0.149437607191523	6.59326268733766e-09	0.0674479031196396	0.0984012949364008	0.0496247844197961	0.0484877936006522	0.183298175420467	0.140452180650551	0.061327572864722	0.0551521342259092
"Fibroblasts_S08"	0.113428436756864	0.0904765533548274	0.0206877064866726	1.22367104177727e-14	0.08085589350665	0.0936538028274101	1.24779441662026e-14	0.0351766411671142	0.102942070131642	0.0735983030014915	0.0418870120878686	0.0427646458259972	0.119816272184614	0.147677848071849	0.149360933400417	0.148255643909457
"Epithelial.cells_S01"	0.0808743741767374	0.165063449160103	0.0730541989016971	0.0745110278828786	0.143623926249302	0.133210500441042	0.042845687766588	0.114608265139924	0.0632994895980015	0.110415197149206	0.129430702065886	0.160651559840058	0.108730569928419	0.0995814565653692	0.176169854465242	0.186694521535054
"CD8.T.cells_S02"	0.00450824263526476	0.172365600399777	1.49550666687283e-14	0.0775655603509439	0.0425081717295353	0.121738235648533	0.139102331379935	0.0104630350841021	0.0370678421331128	0.025452840747659	0.0683713096824856	0.0558007030445995	0.100746968967725	0.177287549447622	0.020329312977005	0.0545757595549107
"Monocytes.and.Macrophages_S04"	0.0269613757910309	0.256346924358986	0.0261553047379032	6.00077783706035e-06	6.96970821606437e-15	3.19430379230299e-09	0.0522171244065229	5.5029735820341e-11	0.00148408651604774	0.0384757407307387	0.0716310979471829	0.02653446789939	0.099335694116756	0.0494198509074965	0.025450719805503	0.000190187477101591
