"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"1"	"CAF07_1"	"CE1"	0.184543145744088	0.210906452278958	TRUE	"CE1"
"10"	"CAF09_2"	"CE1"	0.117131215838128	0.181707813109086	TRUE	"CE1"
"13"	"CAF09_5"	"CE1"	0.0839061058793344	0.176688062987899	TRUE	"CE1"
"14"	"CAF09_6"	"CE1"	0.154807955181436	0.190532867915613	TRUE	"CE1"
"15"	"CAF09_7"	"CE2"	0.138253847124697	0.18433846283293	TRUE	"CE2"
"16"	"CAF09_8"	"CE2"	0.124924121512497	0.181707813109086	TRUE	"CE2"
"2"	"CAF07_2"	"CE3"	0.0278872106043335	0.173338260682163	TRUE	"CE3"
"5"	"CAF07_5"	"CE5"	0.0650018477558111	0.173338260682163	TRUE	"CE5"
"6"	"CAF07_6"	"CE5"	0.00489533729529147	0.0783253967246634	TRUE	"CE5"
"7"	"CAF07_7"	"CE6"	0.0535507744855255	0.173338260682163	TRUE	"CE6"
"9"	"CAF09_1"	"CE7"	0.0602294706395501	0.173338260682163	TRUE	"CE7"
"12"	"CAF09_4"	"CE7"	0.0602459360955616	0.173338260682163	TRUE	"CE7"
"4"	"CAF07_4"	"CE8"	0.121279943546529	0.181707813109086	TRUE	"CE8"
"11"	"CAF09_3"	"CE8"	0.0883440314939493	0.176688062987899	TRUE	"CE8"
"3"	"CAF07_3"	"CE4"	0.607426842153407	0.607426842153407	TRUE	"Unassigned"
"8"	"CAF07_8"	"CE4"	0.296518678629659	0.316286590538303	TRUE	"Unassigned"
